scene,snr_db,accuracy
noise1,20,0.9769673704414588
noise1,10,0.9596928982725528
noise1,5,0.8023032629558541
noise1,0,0.4049904030710173
noise1,-5,0.11132437619961612
noise2,20,0.9788867562380038
noise2,10,0.9654510556621881
noise2,5,0.8829174664107485
noise2,0,0.5854126679462572
noise2,-5,0.22840690978886757
noise3,20,0.980806142034549
noise3,10,0.980806142034549
noise3,5,0.9673704414587332
noise3,0,0.9366602687140115
noise3,-5,0.7850287907869482
